Latitude,Longitude,Crossroad,Slope,Traffic_Light,Distance,Probability
37.61713681,127.0732638,0,1,0,1041.3589050314783,0.0
37.61713681,127.0734614,0,1,0,1029.9651728747076,0.0
37.61713681,127.073659,0,1,0,1018.7413339439368,0.0
37.61713681,127.0738567,0,1,0,1007.687519344532,0.0
37.61733444,127.0730662,0,1,0,1036.6820174021475,0.0
37.61733444,127.0732638,0,1,0,1024.940875309133,0.0
37.61733444,127.0734614,0,1,0,1013.3625949567372,0.0
37.61733444,127.073659,0,1,0,1001.9528223074476,0.0
37.61733444,127.0738567,0,1,0,990.711738513087,0.0
37.61733444,127.0740543,0,1,0,979.6567160251284,0.0
37.61733444,127.0742519,0,1,0,968.7881976863864,0.0
37.61733444,127.0744496,0,1,0,958.1071776967492,0.0
37.61753207,127.0730662,0,1,0,1020.6619473418524,0.0
37.61753207,127.0732638,0,1,0,1008.7343891074725,0.0
37.61753207,127.0734614,0,1,0,996.9679440572536,0.0
37.61753207,127.073659,0,1,0,985.3683838401244,0.0
37.61753207,127.0738567,0,1,0,973.9359332679628,0.0
37.61753207,127.0740543,0,1,0,962.6883153110502,0.0
37.61753207,127.0742519,0,1,0,951.6260502161148,0.0
37.61753207,127.0744496,0,1,0,940.7502251579864,0.0
37.61753207,127.0746472,0,1,0,930.0785736059124,0.0
37.61753207,127.0748448,0,1,0,919.612460070625,0.0
37.6177297,127.0730662,0,1,0,1004.8670844417784,0.0
37.6177297,127.0732638,0,1,0,992.749806725226,0.0
37.6177297,127.0734614,0,1,0,980.791647188435,0.0
37.6177297,127.073659,0,1,0,968.9984967533647,0.0
37.6177297,127.0738567,0,1,0,957.37061605753,0.0
37.6177297,127.0740543,0,1,0,945.926077828924,0.0
37.6177297,127.0742519,0,1,0,934.6654738571832,0.0
37.6177297,127.0744496,0,1,0,923.589979056182,0.0
37.6177297,127.0746472,0,1,0,912.7177380922276,0.0
37.6177297,127.0748448,0,1,0,902.0502450105176,0.0
37.6177297,127.0750424,0,1,0,891.5948489598586,0.0
37.6177297,127.0752401,0,1,1,881.353975047033,0.0
37.6177297,127.0754377,0,1,0,871.345727146301,0.0
37.61792733,127.0728685,0,1,0,1001.7758345117296,0.0
37.61792733,127.0730662,0,1,0,989.3082154382222,0.0
37.61792733,127.0732638,0,1,0,976.998019872249,0.0
37.61792733,127.0734614,0,1,0,964.8446869875072,0.0
37.61792733,127.073659,0,1,0,952.8542189892464,0.0
37.61792733,127.0738567,0,1,0,941.0269028923304,0.0
37.61792733,127.0740543,0,1,0,929.3811586718818,0.0
37.61792733,127.0742519,0,1,0,917.9176421055888,0.0
37.61792733,127.0744496,0,1,0,906.6376088540676,0.0
37.61792733,127.0746472,0,1,0,895.5596165935345,0.0
37.61792733,127.0748448,0,1,0,884.6852849616412,0.0
37.61792733,127.0750424,0,1,0,874.022215647205,0.0
37.61792733,127.0752401,0,1,0,863.5730058003734,0.0
37.61792733,127.0754377,0,1,0,853.3562736980284,0.0
37.61792733,127.0756353,0,1,0,843.3749325406918,0.0
37.61792733,127.075833,0,1,1,833.6325728523309,0.0
37.61812496,127.0728685,0,1,0,986.6577347081874,0.0
37.61812496,127.0730662,0,1,0,973.9966498750543,0.0
37.61812496,127.0732638,0,1,0,961.4904700573164,0.0
37.61812496,127.0734614,0,1,0,949.1386231299656,0.0
37.61812496,127.073659,0,1,0,936.9472128549849,0.0
37.61812496,127.0738567,0,1,0,924.9165413916317,0.0
37.61812496,127.0740543,0,1,0,913.0653714646662,0.0
37.61812496,127.0742519,0,1,0,901.3944133690892,0.0
37.61812496,127.0744496,0,1,0,889.9049945138618,0.0
37.61812496,127.0746472,0,1,0,878.6160853380486,0.0
37.61812496,127.0748448,0,1,0,867.5294251082034,0.0
37.61812496,127.0750424,0,1,0,856.6528662736613,0.0
37.61812496,127.0752401,0,1,0,845.9891751435443,0.0
37.61812496,127.0754377,0,1,0,835.5574932945485,0.0
37.61812496,127.0756353,0,1,0,825.3609613960622,0.0
37.61812496,127.075833,0,1,0,815.4034275793246,0.0
37.61812496,127.0760306,0,1,0,805.7040101514723,0.0
37.61812496,127.0762282,0,1,0,796.2668560841141,0.0
37.61812496,127.0764258,0,1,0,787.1013988552711,0.0
37.61832258,127.0728685,0,1,0,971.8021594911268,0.0
37.61832258,127.0730662,0,1,0,958.9449888722836,0.0
37.61832258,127.0732638,0,1,0,946.2399304964276,0.0
37.61832258,127.0734614,0,1,0,933.6863877668924,0.0
37.61832258,127.073659,1,1,0,921.290554374702,0.0
37.61832258,127.0738567,1,1,0,909.0527344340112,0.0
37.61832258,127.0740543,0,1,0,896.9920266692117,0.0
37.61832258,127.0742519,0,1,0,885.1091842712154,0.0
37.61832258,127.0744496,0,1,0,873.4055951241311,0.0
37.61832258,127.0746472,0,1,0,861.900639757945,0.0
37.61832258,127.0748448,0,1,0,850.5961687462676,0.0
37.61832258,127.0750424,0,1,0,839.5002811190027,0.0
37.61832258,127.0752401,0,1,0,828.6159070550691,0.0
37.61832258,127.0754377,0,1,0,817.9627180935643,0.0
37.61832258,127.0756353,0,1,0,807.5440825134941,0.0
37.61832258,127.075833,0,1,0,797.3641086361175,0.0
37.61832258,127.0760306,0,1,0,787.4425476196121,0.0
37.61832258,127.0762282,0,1,0,777.7838775071181,0.0
37.61832258,127.0764258,0,1,0,768.398011883272,0.0
37.61832258,127.0766235,0,1,0,759.2905340643622,0.0
37.61832258,127.0768211,0,1,0,750.4809569372723,0.0
37.61832258,127.0770187,0,1,1,741.9750457927968,0.0
37.61852021,127.0726709,0,1,0,970.405563903352,0.0
37.61852021,127.0728685,0,1,0,957.219793653044,0.0
37.61852021,127.0730662,0,1,0,944.16410323612,0.0
37.61852021,127.0732638,0,1,0,931.257446985067,0.0
37.61852021,127.0734614,0,1,0,918.499188858164,0.0
37.61852021,127.073659,0,1,0,905.8955988050824,0.0
37.61852021,127.0738567,0,1,0,893.4469675802202,0.0
37.61852021,127.0740543,0,1,0,881.1727206999296,0.0
37.61852021,127.0742519,0,1,0,869.0736402456754,0.0
